2025-01-26 11:55:27:583 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 60660 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:55:27:585 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:55:31:551 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.404 seconds (process running for 4.8)
2025-01-26 11:56:20:898 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 60969 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:56:20:899 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:56:25:002 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.505 seconds (process running for 4.903)
2025-01-26 12:00:02:231 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 62200 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 12:00:02:232 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 12:00:06:033 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.142 seconds (process running for 4.499)
2025-01-26 12:00:54:703 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 62634 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 12:00:54:704 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 12:00:58:496 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.18 seconds (process running for 4.561)
2025-01-26 14:08:13:214 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 7339 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:08:13:215 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:08:18:041 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 5.378 seconds (process running for 5.82)
2025-01-26 14:09:09:608 [http-nio-8080-exec-8] INFO  c.e.a.c.ReservationController - Getting all reservations
2025-01-26 14:09:20:220 [http-nio-8080-exec-9] INFO  c.e.a.c.ReservationController - Creating a new reservation
2025-01-26 14:10:25:674 [http-nio-8080-exec-11] INFO  c.e.a.c.ReservationController - Updating reservation with id 1
2025-01-26 14:10:34:691 [http-nio-8080-exec-12] INFO  c.e.a.c.ReservationController - Getting all reservations
2025-01-26 14:11:03:928 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 7873 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:11:03:929 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:11:08:048 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.549 seconds (process running for 4.961)
2025-01-26 14:19:42:212 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 9247 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:19:42:213 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:19:46:671 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.75 seconds (process running for 5.495)
2025-01-26 14:20:34:747 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 9450 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:20:34:748 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:20:39:367 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.898 seconds (process running for 5.65)
2025-01-26 14:21:16:836 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 9791 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:21:16:837 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:21:20:937 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.468 seconds (process running for 4.802)
2025-01-26 14:21:54:117 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 10013 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:21:54:118 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:21:58:642 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.816 seconds (process running for 5.566)
2025-01-26 14:43:30:668 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 12542 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:43:30:669 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:43:35:063 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.673 seconds (process running for 5.395)
2025-01-26 14:43:36:904 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 12638 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:43:36:906 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:43:41:591 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 5.028 seconds (process running for 5.379)
2025-01-26 15:00:23:191 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 14458 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 15:00:23:192 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 15:00:27:608 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.697 seconds (process running for 5.368)
2025-01-26 15:14:50:570 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 17526 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 15:14:50:571 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 15:14:55:026 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.737 seconds (process running for 5.418)
2025-01-26 15:16:30:343 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 18266 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 15:16:30:344 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 15:16:34:916 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.863 seconds (process running for 5.541)
2025-01-26 15:18:03:794 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 19416 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 15:18:03:795 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 15:18:08:147 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.631 seconds (process running for 5.37)
2025-01-26 15:19:30:566 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 20200 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 15:19:30:567 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 15:19:34:940 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.66 seconds (process running for 5.359)
2025-01-26 19:44:48:880 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 8005 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 19:44:48:881 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 19:46:09:411 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 9194 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 19:46:09:412 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 19:46:14:205 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 5.085 seconds (process running for 5.798)
2025-01-26 19:54:08:401 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 10556 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 19:54:08:402 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 19:54:13:070 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.963 seconds (process running for 5.696)
2025-01-26 20:16:26:544 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 17250 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 20:16:26:545 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 20:16:31:054 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.977 seconds (process running for 5.371)
